hmin1, hmax1, hmed1, mmin1, mmax1, mmed1
97, 106, 101, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 99, 93, 85, 92, 87
99, 109, 103, 89, 97, 93
97, 105, 100, 91, 99, 94
99, 107, 103, 89, 97, 93
97, 105, 100, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 108, 104, 89, 95, 92
97, 107, 101, 91, 99, 95
93, 103, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 106, 100, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 99, 94, 85, 91, 87
99, 108, 103, 89, 96, 93
97, 106, 101, 91, 108, 95
93, 102, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
97, 106, 100, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 94, 85, 91, 87
93, 101, 95, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 95, 93
91, 99, 95, 85, 93, 89
93, 102, 97, 85, 102, 87
97, 106, 101, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
98, 106, 101, 93, 99, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 101, 97, 85, 92, 87
93, 100, 95, 85, 91, 87
89, 97, 93, 85, 91, 87
99, 109, 103, 89, 96, 93
97, 104, 100, 91, 98, 95
93, 101, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 107, 103, 89, 95, 93
97, 107, 101, 91, 99, 95
93, 101, 95, 85, 91, 87
89, 97, 93, 85, 91, 87
100, 109, 103, 89, 95, 93
97, 105, 100, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 101, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 106, 101, 91, 99, 95
91, 99, 93, 85, 91, 87
91, 101, 95, 83, 93, 87
97, 105, 101, 91, 99, 95
99, 108, 103, 89, 97, 93
91, 98, 95, 85, 93, 89
93, 103, 97, 83, 92, 87
97, 107, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
91, 99, 94, 85, 91, 87
92, 101, 96, 85, 91, 87
97, 105, 100, 91, 99, 95
99, 107, 103, 89, 97, 93
91, 98, 95, 85, 93, 89
93, 101, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 109, 103, 89, 97, 93
93, 101, 95, 85, 91, 87
91, 99, 93, 83, 91, 87
99, 109, 103, 89, 97, 93
97, 103, 100, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 109, 103, 89, 97, 93
97, 105, 101, 91, 99, 95
93, 99, 95, 85, 91, 87
89, 99, 94, 85, 91, 87
99, 107, 103, 89, 95, 93
97, 105, 100, 91, 99, 95
93, 102, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
99, 108, 103, 89, 97, 93
97, 107, 101, 91, 99, 95
91, 99, 93, 85, 91, 87
92, 101, 95, 85, 91, 87
97, 105, 101, 91, 99, 95
100, 109, 104, 91, 95, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 107, 101, 93, 99, 95
99, 108, 103, 89, 97, 93
91, 97, 93, 85, 91, 87
91, 101, 95, 85, 91, 87
97, 105, 100, 91, 97, 95
99, 107, 103, 89, 97, 93
91, 99, 95, 85, 93, 89
93, 103, 97, 85, 91, 87
97, 106, 101, 93, 99, 95
99, 109, 103, 91, 97, 93
99, 109, 103, 89, 95, 93
97, 105, 101, 91, 99, 95
93, 101, 96, 85, 91, 87
89, 99, 93, 85, 91, 87
99, 109, 103, 89, 95, 93
97, 107, 101, 91, 99, 95
93, 101, 97, 85, 91, 87
91, 100, 95, 85, 93, 89
99, 109, 104, 89, 95, 92
97, 105, 100, 91, 99, 95
93, 101, 96, 85, 91, 87
89, 97, 93, 85, 91, 87
99, 109, 103, 89, 96, 93
97, 107, 101, 91, 99, 95
93, 100, 97, 85, 91, 87
91, 99, 95, 85, 93, 89
